City,Activity,Activity Address,Best Time to Visit,Estimated Budget (INR)
Kavaratti,Museum Visit,"61, Main Street, Kavaratti",December to March,2223
Hyderabad,Temple Visit,"144, Lake Side, Hyderabad",December to March,3299
Kochi,Temple Visit,"87, Lake Side, Kochi",November to February,1705
Daman,Food Tasting,"38, Cultural District, Daman",December to March,3787
Jaipur,Cultural Tour,"40, Cultural District, Jaipur",October to March,4262
Patna,Historical Tour,"95, Temple Road, Patna",November to March,6261
Puri,Cultural Tour,"26, Lake Side, Puri",October to February,5639
Vijayawada,Cultural Tour,"54, Main Street, Vijayawada",December to March,5681
Nagpur,Beach Visit,"29, Temple Road, Nagpur",October to March,5653
Mumbai,Cultural Tour,"82, Central Plaza, Mumbai",October to March,6009
Nagpur,Adventure Sports,"144, Central Plaza, Nagpur",November to February,7083
Chennai,Cultural Tour,"68, Market Road, Chennai",December to March,7114
Bhubaneswar,Wildlife Safari,"13, Garden Street, Bhubaneswar",November to March,8851
Ahmedabad,River Rafting,"101, Riverfront Area, Ahmedabad",October to March,6008
Ranchi,Temple Visit,"25, Heritage Lane, Ranchi",November to March,1371
Chandigarh,River Rafting,"141, Beachside Promenade, Chandigarh",September to February,7300
Agra,Cultural Tour,"146, Old Town, Agra",September to February,4834
Mysore,Beach Visit,"72, Beachside Promenade, Mysore",November to February,2957
Nagpur,Food Tasting,"52, Main Street, Nagpur",October to March,2705
Shillong,Cultural Tour,"82, Main Street, Shillong",November to March,4845
Thiruvananthapuram,River Rafting,"145, Heritage Lane, Thiruvananthapuram",November to February,8208
Agra,Cultural Tour,"141, Temple Road, Agra",September to February,7893
Pune,Beach Visit,"114, Lake Side, Pune",October to March,3946
Kochi,Beach Visit,"124, Cultural District, Kochi",December to March,2858
Port Blair,River Rafting,"76, Lake Side, Port Blair",December to March,6976
Coimbatore,Cultural Tour,"148, Temple Road, Coimbatore",December to March,7400
Surat,Historical Tour,"107, Cultural District, Surat",October to March,6969
Coimbatore,River Rafting,"64, Hill View Road, Coimbatore",December to March,11385
Madurai,Cultural Tour,"81, Hill View Road, Madurai",December to March,6795
Vijayawada,Historical Tour,"112, Beachside Promenade, Vijayawada",December to March,6929
Puri,Historical Tour,"3, Temple Road, Puri",October to February,3195
Vadodara,Historical Tour,"49, Garden Street, Vadodara",October to March,5929
Agra,Temple Visit,"12, Heritage Lane, Agra",October to March,2755
Ranchi,Wildlife Safari,"123, Heritage Lane, Ranchi",October to February,7530
Mumbai,Wildlife Safari,"82, Old Town, Mumbai",November to February,9166
Shillong,Adventure Sports,"17, Main Street, Shillong",November to March,10656
Delhi,Shopping,"74, Beachside Promenade, Delhi",October to March,2459
Kochi,Wildlife Safari,"94, Riverfront Area, Kochi",December to March,6708
Mysore,Adventure Sports,"72, Old Town, Mysore",December to March,11307
Diu,Beach Visit,"58, Riverfront Area, Diu",December to March,4100
Daman,Food Tasting,"16, Beachside Promenade, Daman",December to March,1815
Bengaluru,Museum Visit,"94, Garden Street, Bengaluru",December to March,2730
Manali,Historical Tour,"7, Main Street, Manali",October to March,3350
Amritsar,Beach Visit,"6, Central Plaza, Amritsar",October to March,4878
Puri,Trekking,"39, Lake Side, Puri",October to February,6472
Vijayawada,River Rafting,"115, Cultural District, Vijayawada",November to February,6467
Kolkata,Adventure Sports,"116, Lake Side, Kolkata",November to March,11633
Delhi,Trekking,"21, Old Town, Delhi",October to March,7522
Surat,Food Tasting,"121, Riverfront Area, Surat",October to March,2186
Port Blair,Shopping,"43, Market Road, Port Blair",December to March,5669
Ahmedabad,Food Tasting,"28, Lake Side, Ahmedabad",November to February,3718
Gangtok,Adventure Sports,"76, Beachside Promenade, Gangtok",October to February,8050
Shimla,Shopping,"52, Riverfront Area, Shimla",October to March,3618
Surat,Museum Visit,"138, Temple Road, Surat",October to March,2390
Ranchi,Trekking,"3, Cultural District, Ranchi",November to March,6827
Ranchi,Historical Tour,"108, Cultural District, Ranchi",October to February,6134
Coimbatore,Food Tasting,"103, Central Plaza, Coimbatore",December to March,3734
Chandigarh,Historical Tour,"132, Garden Street, Chandigarh",September to February,5574
Delhi,Cultural Tour,"34, Riverfront Area, Delhi",October to March,7101
Hyderabad,Temple Visit,"115, Central Plaza, Hyderabad",November to February,2792
Jaipur,Beach Visit,"135, Heritage Lane, Jaipur",October to March,4362
Lakshadweep,Cultural Tour,"140, Riverfront Area, Lakshadweep",December to March,4729
Chennai,Food Tasting,"36, Temple Road, Chennai",December to March,2217
Chennai,Wildlife Safari,"64, Lake Side, Chennai",December to March,8765
Bengaluru,Wildlife Safari,"104, Heritage Lane, Bengaluru",December to March,6272
Imphal,Trekking,"25, Heritage Lane, Imphal",November to March,6630
Vadodara,Trekking,"107, Central Plaza, Vadodara",November to February,6413
Ahmedabad,Sightseeing,"123, Heritage Lane, Ahmedabad",November to February,4211
Coimbatore,Temple Visit,"31, Old Town, Coimbatore",December to March,2591
Pune,Cultural Tour,"108, Garden Street, Pune",October to March,7206
Patna,Adventure Sports,"101, Lake Side, Patna",November to March,14367
Lakshadweep,Wildlife Safari,"86, Old Town, Lakshadweep",November to April,6201
Bengaluru,Cultural Tour,"46, Temple Road, Bengaluru",November to February,5556
Indore,Cultural Tour,"58, Lake Side, Indore",November to February,6279
Chennai,Beach Visit,"68, Beachside Promenade, Chennai",November to February,4671
Coimbatore,Trekking,"88, Beachside Promenade, Coimbatore",December to March,5630
Darjeeling,Shopping,"89, Cultural District, Darjeeling",October to February,2124
Lakshadweep,Shopping,"44, Old Town, Lakshadweep",November to April,2592
Puri,Museum Visit,"73, Cultural District, Puri",November to March,2245
Thiruvananthapuram,River Rafting,"85, Temple Road, Thiruvananthapuram",November to February,9502
Darjeeling,Museum Visit,"114, Old Town, Darjeeling",November to March,1276
Ranchi,Trekking,"34, Central Plaza, Ranchi",October to February,6164
Mysore,River Rafting,"136, Old Town, Mysore",December to March,7362
Hyderabad,Cultural Tour,"49, Main Street, Hyderabad",December to March,6623
Lakshadweep,Food Tasting,"57, Riverfront Area, Lakshadweep",December to March,1918
Vijayawada,Trekking,"3, Riverfront Area, Vijayawada",December to March,7353
Imphal,Beach Visit,"97, Garden Street, Imphal",October to February,3991
Delhi,Museum Visit,"21, Temple Road, Delhi",October to March,1935
Vijayawada,Trekking,"88, Riverfront Area, Vijayawada",December to March,6412
Daman,Wildlife Safari,"135, Cultural District, Daman",December to March,8047
Nagpur,Temple Visit,"50, Market Road, Nagpur",October to March,2802
Patna,Cultural Tour,"96, Garden Street, Patna",October to February,7995
Jaipur,Sightseeing,"31, Garden Street, Jaipur",September to February,6828
Pondicherry,Museum Visit,"81, Beachside Promenade, Pondicherry",December to March,2401
Coimbatore,Shopping,"77, Hill View Road, Coimbatore",December to March,4685
Port Blair,River Rafting,"113, Beachside Promenade, Port Blair",December to March,11114
Agra,Shopping,"20, Garden Street, Agra",October to March,5495
Kavaratti,Museum Visit,"128, Lake Side, Kavaratti",November to April,2006
Jodhpur,Wildlife Safari,"35, Temple Road, Jodhpur",November to February,9450
Vijayawada,Sightseeing,"120, Central Plaza, Vijayawada",December to March,6893
Chennai,River Rafting,"19, Old Town, Chennai",November to February,11322
Amritsar,Cultural Tour,"33, Lake Side, Amritsar",October to March,5219
Gangtok,Beach Visit,"55, Hill View Road, Gangtok",October to February,4825
Kochi,Trekking,"138, Garden Street, Kochi",December to March,7566
Amritsar,Wildlife Safari,"30, Temple Road, Amritsar",September to February,8330
Pondicherry,Temple Visit,"98, Hill View Road, Pondicherry",December to March,1816
Chennai,Historical Tour,"106, Old Town, Chennai",December to March,5578
Madurai,Temple Visit,"53, Central Plaza, Madurai",December to March,3327
Jaipur,Cultural Tour,"21, Central Plaza, Jaipur",September to February,4971
Gangtok,Shopping,"87, Heritage Lane, Gangtok",November to March,5744
Surat,Shopping,"63, Cultural District, Surat",November to February,4381
Pondicherry,Shopping,"39, Main Street, Pondicherry",November to February,5092
Agra,Cultural Tour,"31, Central Plaza, Agra",September to February,3754
Agartala,Temple Visit,"32, Cultural District, Agartala",November to March,2022
Shimla,River Rafting,"69, Beachside Promenade, Shimla",September to February,10446
Bengaluru,Sightseeing,"33, Old Town, Bengaluru",December to March,6381
Agartala,Museum Visit,"24, Garden Street, Agartala",October to February,1481
Leh,Shopping,"84, Central Plaza, Leh",September to February,5793
Gangtok,River Rafting,"137, Old Town, Gangtok",November to March,6909
Puri,Historical Tour,"126, Lake Side, Puri",November to March,4412
Shillong,Cultural Tour,"43, Old Town, Shillong",October to February,6920
Mysore,Beach Visit,"10, Central Plaza, Mysore",November to February,4433
Port Blair,Food Tasting,"23, Riverfront Area, Port Blair",December to March,3635
Agartala,River Rafting,"45, Cultural District, Agartala",October to February,7103
Udaipur,Sightseeing,"105, Temple Road, Udaipur",October to March,5045
Coimbatore,Trekking,"100, Central Plaza, Coimbatore",November to February,7891
Port Blair,Beach Visit,"100, Heritage Lane, Port Blair",December to March,3009
Coimbatore,Beach Visit,"30, Temple Road, Coimbatore",November to February,4816
Indore,Temple Visit,"135, Market Road, Indore",November to February,2362
Goa,Cultural Tour,"114, Central Plaza, Goa",October to March,7714
Patna,Sightseeing,"88, Hill View Road, Patna",November to March,3602
Shillong,Cultural Tour,"150, Garden Street, Shillong",October to February,6891
Shillong,Shopping,"57, Riverfront Area, Shillong",November to March,5786
Hyderabad,Museum Visit,"26, Old Town, Hyderabad",November to February,2615
Pondicherry,Wildlife Safari,"112, Garden Street, Pondicherry",November to February,8522
Mysore,Wildlife Safari,"17, Market Road, Mysore",December to March,8596
Bengaluru,Cultural Tour,"132, Market Road, Bengaluru",December to March,4831
Diu,Temple Visit,"115, Riverfront Area, Diu",November to April,2283
Surat,Museum Visit,"4, Garden Street, Surat",October to March,2143
Indore,Temple Visit,"5, Central Plaza, Indore",November to February,2439
Shillong,River Rafting,"145, Market Road, Shillong",November to March,6975
Surat,River Rafting,"102, Cultural District, Surat",October to March,6477
Hyderabad,Wildlife Safari,"78, Temple Road, Hyderabad",November to February,9853
Goa,Cultural Tour,"82, Central Plaza, Goa",October to March,3696
Coimbatore,Shopping,"104, Market Road, Coimbatore",December to March,4959
Lakshadweep,River Rafting,"136, Garden Street, Lakshadweep",December to March,11697
Nagpur,River Rafting,"107, Main Street, Nagpur",October to March,6449
Port Blair,Cultural Tour,"130, Riverfront Area, Port Blair",December to March,5955
Leh,Shopping,"95, Market Road, Leh",September to February,2677
Goa,Adventure Sports,"149, Temple Road, Goa",November to February,12396
Delhi,Museum Visit,"95, Temple Road, Delhi",September to February,2493
Udaipur,Trekking,"46, Hill View Road, Udaipur",October to March,8701
Vadodara,Museum Visit,"3, Old Town, Vadodara",October to March,1676
Amritsar,Historical Tour,"64, Central Plaza, Amritsar",September to February,5869
Goa,Shopping,"69, Market Road, Goa",October to March,3222
Gangtok,Temple Visit,"150, Cultural District, Gangtok",November to March,3016
Diu,Cultural Tour,"137, Hill View Road, Diu",December to March,3980
Shimla,Food Tasting,"130, Market Road, Shimla",October to March,3640
Mumbai,Beach Visit,"63, Main Street, Mumbai",November to February,5839
Rishikesh,Sightseeing,"103, Main Street, Rishikesh",October to March,4875
Coimbatore,Food Tasting,"37, Beachside Promenade, Coimbatore",December to March,2885
Shimla,Adventure Sports,"60, Riverfront Area, Shimla",September to February,12556
Udaipur,Historical Tour,"61, Lake Side, Udaipur",November to February,5404
Agra,Temple Visit,"28, Garden Street, Agra",October to March,3073
Vadodara,Cultural Tour,"108, Heritage Lane, Vadodara",November to February,4102
Chandigarh,Food Tasting,"127, Garden Street, Chandigarh",October to March,3994
Hyderabad,River Rafting,"17, Central Plaza, Hyderabad",December to March,6753
Madurai,Shopping,"85, Temple Road, Madurai",November to February,4530
Chandigarh,Wildlife Safari,"108, Beachside Promenade, Chandigarh",October to March,7157
Delhi,Temple Visit,"55, Garden Street, Delhi",September to February,1621
Agartala,River Rafting,"124, Hill View Road, Agartala",November to March,7284
Pondicherry,Wildlife Safari,"130, Lake Side, Pondicherry",December to March,5809
Jodhpur,Temple Visit,"139, Heritage Lane, Jodhpur",November to February,1678
Kochi,Temple Visit,"6, Old Town, Kochi",December to March,2573
Udaipur,River Rafting,"91, Garden Street, Udaipur",October to March,9779
Agra,Food Tasting,"57, Heritage Lane, Agra",October to March,3917
Madurai,Wildlife Safari,"136, Riverfront Area, Madurai",November to February,7693
Puri,Museum Visit,"12, Lake Side, Puri",November to March,1400
Amritsar,Temple Visit,"89, Temple Road, Amritsar",September to February,1349
Darjeeling,Cultural Tour,"131, Main Street, Darjeeling",October to February,7456
Coimbatore,River Rafting,"132, Temple Road, Coimbatore",December to March,11667
Vadodara,Shopping,"14, Garden Street, Vadodara",October to March,4628
Chandigarh,Historical Tour,"96, Beachside Promenade, Chandigarh",September to February,3967
Patna,Cultural Tour,"96, Riverfront Area, Patna",November to March,5494
Patna,Shopping,"127, Beachside Promenade, Patna",October to February,2726
Port Blair,Beach Visit,"106, Old Town, Port Blair",November to April,3318
Goa,Museum Visit,"10, Central Plaza, Goa",November to February,2194
Ahmedabad,Sightseeing,"4, Riverfront Area, Ahmedabad",November to February,4832
Indore,Cultural Tour,"50, Heritage Lane, Indore",November to February,5897
Pondicherry,Food Tasting,"127, Riverfront Area, Pondicherry",November to February,2676
Patna,Temple Visit,"62, Main Street, Patna",November to March,3359
Pune,Trekking,"123, Cultural District, Pune",October to March,5955
Bhubaneswar,Shopping,"3, Cultural District, Bhubaneswar",November to March,3280
Bhubaneswar,Wildlife Safari,"18, Main Street, Bhubaneswar",October to February,8749
Leh,River Rafting,"5, Heritage Lane, Leh",September to February,7305
Delhi,Cultural Tour,"133, Heritage Lane, Delhi",September to February,7624
Kavaratti,River Rafting,"64, Temple Road, Kavaratti",November to April,11488
Coimbatore,Historical Tour,"28, Cultural District, Coimbatore",December to March,7550
Jaipur,Trekking,"48, Lake Side, Jaipur",September to February,4642
Amritsar,Beach Visit,"19, Lake Side, Amritsar",October to March,4523
Daman,Cultural Tour,"15, Main Street, Daman",November to April,7212
Kochi,Wildlife Safari,"141, Old Town, Kochi",December to March,7642
Gangtok,Food Tasting,"144, Garden Street, Gangtok",November to March,3733
Rishikesh,Adventure Sports,"114, Lake Side, Rishikesh",October to March,10611
Hyderabad,Sightseeing,"39, Cultural District, Hyderabad",December to March,3320
Manali,Beach Visit,"123, Main Street, Manali",October to March,3861
Lakshadweep,Beach Visit,"126, Temple Road, Lakshadweep",December to March,3967
Goa,Shopping,"107, Main Street, Goa",November to February,5524
Puri,Shopping,"24, Temple Road, Puri",November to March,4844
Nagpur,River Rafting,"20, Cultural District, Nagpur",November to February,7621
Ahmedabad,Trekking,"113, Temple Road, Ahmedabad",October to March,5111
Shillong,Cultural Tour,"8, Old Town, Shillong",October to February,6735
Varanasi,Cultural Tour,"58, Market Road, Varanasi",October to March,6327
Agra,Shopping,"62, Temple Road, Agra",September to February,3186
Varanasi,Trekking,"60, Lake Side, Varanasi",October to March,5342
Patna,Museum Visit,"5, Hill View Road, Patna",October to February,2527
Manali,Wildlife Safari,"94, Old Town, Manali",October to March,7607
Varanasi,Sightseeing,"39, Lake Side, Varanasi",October to March,5497
Varanasi,Cultural Tour,"78, Hill View Road, Varanasi",October to March,7633
Port Blair,Sightseeing,"149, Temple Road, Port Blair",November to April,5783
Shillong,Food Tasting,"72, Old Town, Shillong",October to February,3239
Agra,Temple Visit,"141, Central Plaza, Agra",September to February,1204
Delhi,Wildlife Safari,"92, Temple Road, Delhi",October to March,8684
Daman,Shopping,"74, Cultural District, Daman",November to April,3136
Madurai,Wildlife Safari,"52, Old Town, Madurai",December to March,7708
Kavaratti,Beach Visit,"135, Garden Street, Kavaratti",December to March,5347
Amritsar,River Rafting,"137, Market Road, Amritsar",September to February,10525
Lakshadweep,Beach Visit,"41, Market Road, Lakshadweep",December to March,3880
Thiruvananthapuram,Cultural Tour,"70, Riverfront Area, Thiruvananthapuram",December to March,5317
Leh,Trekking,"126, Main Street, Leh",October to March,6698
Udaipur,Adventure Sports,"62, Central Plaza, Udaipur",October to March,9186
Pondicherry,Beach Visit,"42, Cultural District, Pondicherry",December to March,3109
Diu,Food Tasting,"13, Heritage Lane, Diu",December to March,2647
Vadodara,Trekking,"11, Hill View Road, Vadodara",November to February,7211
Shillong,Cultural Tour,"11, Beachside Promenade, Shillong",October to February,3770
Diu,Temple Visit,"66, Hill View Road, Diu",November to April,2005
Udaipur,Cultural Tour,"55, Lake Side, Udaipur",November to February,4861
Vijayawada,Temple Visit,"12, Temple Road, Vijayawada",December to March,2402
Mumbai,Shopping,"46, Temple Road, Mumbai",November to February,5835
Kavaratti,Beach Visit,"68, Market Road, Kavaratti",November to April,3875
Amritsar,Beach Visit,"127, Garden Street, Amritsar",October to March,4529
Manali,Wildlife Safari,"65, Heritage Lane, Manali",October to March,6948
Jodhpur,Sightseeing,"126, Hill View Road, Jodhpur",November to February,5615
Lakshadweep,Wildlife Safari,"54, Heritage Lane, Lakshadweep",December to March,9125
Agra,Cultural Tour,"41, Riverfront Area, Agra",October to March,6483
Goa,Trekking,"35, Cultural District, Goa",October to March,6916
Hyderabad,Cultural Tour,"30, Garden Street, Hyderabad",November to February,4620
Patna,Temple Visit,"116, Heritage Lane, Patna",October to February,3049
Agra,Beach Visit,"53, Temple Road, Agra",October to March,5454
Varanasi,Beach Visit,"102, Old Town, Varanasi",September to February,4394
Rishikesh,Beach Visit,"32, Main Street, Rishikesh",September to February,4563
Agra,Museum Visit,"59, Main Street, Agra",October to March,2075
Udaipur,Shopping,"21, Temple Road, Udaipur",October to March,4045
Varanasi,Trekking,"101, Riverfront Area, Varanasi",September to February,4928
Agartala,Adventure Sports,"22, Riverfront Area, Agartala",October to February,9831
Kavaratti,Beach Visit,"87, Temple Road, Kavaratti",November to April,4366
Patna,Cultural Tour,"87, Lake Side, Patna",October to February,4530
Kavaratti,Beach Visit,"29, Central Plaza, Kavaratti",November to April,4863
Patna,Beach Visit,"46, Lake Side, Patna",October to February,3013
Vadodara,Temple Visit,"97, Garden Street, Vadodara",November to February,3000
Thiruvananthapuram,Museum Visit,"142, Central Plaza, Thiruvananthapuram",December to March,2860
Imphal,Food Tasting,"28, Beachside Promenade, Imphal",November to March,3136
Patna,River Rafting,"123, Beachside Promenade, Patna",October to February,9998
Diu,Museum Visit,"132, Hill View Road, Diu",December to March,2256
Lakshadweep,River Rafting,"103, Central Plaza, Lakshadweep",November to April,6374
Puri,Food Tasting,"109, Beachside Promenade, Puri",October to February,3993
Pondicherry,Shopping,"139, Market Road, Pondicherry",November to February,5808
Pondicherry,Food Tasting,"69, Lake Side, Pondicherry",December to March,3128
Diu,Adventure Sports,"147, Lake Side, Diu",December to March,9765
Vadodara,Sightseeing,"4, Temple Road, Vadodara",October to March,6241
Diu,Shopping,"45, Old Town, Diu",November to April,4424
Ranchi,Food Tasting,"47, Main Street, Ranchi",October to February,3271
Gangtok,Wildlife Safari,"122, Beachside Promenade, Gangtok",October to February,7372
Mumbai,Cultural Tour,"141, Old Town, Mumbai",October to March,4005
Rishikesh,Cultural Tour,"89, Market Road, Rishikesh",September to February,5553
Bengaluru,Beach Visit,"97, Beachside Promenade, Bengaluru",December to March,2730
Coimbatore,Cultural Tour,"120, Market Road, Coimbatore",December to March,4388
Surat,Food Tasting,"1, Main Street, Surat",November to February,3549
Bhubaneswar,Trekking,"121, Main Street, Bhubaneswar",November to March,7726
Vijayawada,Wildlife Safari,"12, Riverfront Area, Vijayawada",December to March,5448
Patna,Beach Visit,"33, Cultural District, Patna",November to March,4013
Vadodara,River Rafting,"16, Cultural District, Vadodara",November to February,8551
Agra,Wildlife Safari,"27, Main Street, Agra",September to February,8191
Puri,Trekking,"40, Old Town, Puri",November to March,4203
Manali,Trekking,"106, Hill View Road, Manali",September to February,7001
Leh,Wildlife Safari,"107, Garden Street, Leh",October to March,7030
Imphal,Historical Tour,"92, Central Plaza, Imphal",November to March,4631
Kavaratti,Food Tasting,"78, Garden Street, Kavaratti",December to March,2701
Lakshadweep,Cultural Tour,"136, Riverfront Area, Lakshadweep",November to April,6056
Shillong,Food Tasting,"77, Riverfront Area, Shillong",November to March,1612
Lakshadweep,Wildlife Safari,"122, Main Street, Lakshadweep",November to April,8418
Madurai,Museum Visit,"45, Main Street, Madurai",December to March,2347
Chennai,Historical Tour,"82, Hill View Road, Chennai",December to March,4718
Port Blair,Museum Visit,"74, Old Town, Port Blair",November to April,1083
Pondicherry,Adventure Sports,"4, Market Road, Pondicherry",November to February,12827
Daman,Beach Visit,"19, Cultural District, Daman",December to March,3605
Vijayawada,Museum Visit,"16, Temple Road, Vijayawada",November to February,2648
Imphal,Wildlife Safari,"127, Garden Street, Imphal",November to March,7123
Imphal,Historical Tour,"9, Cultural District, Imphal",October to February,7325
Coimbatore,Cultural Tour,"37, Central Plaza, Coimbatore",December to March,7796
Vadodara,Temple Visit,"43, Beachside Promenade, Vadodara",November to February,2905
Puri,Shopping,"125, Heritage Lane, Puri",October to February,3002
Chandigarh,Temple Visit,"36, Market Road, Chandigarh",October to March,2418
Kochi,Cultural Tour,"123, Temple Road, Kochi",November to February,3568
Imphal,Temple Visit,"11, Market Road, Imphal",November to March,2764
Mysore,Temple Visit,"135, Central Plaza, Mysore",December to March,1857
Varanasi,Wildlife Safari,"141, Lake Side, Varanasi",October to March,8632
Chennai,Adventure Sports,"60, Temple Road, Chennai",November to February,8221
Rishikesh,Wildlife Safari,"103, Lake Side, Rishikesh",October to March,8387
Shimla,Cultural Tour,"73, Garden Street, Shimla",September to February,7245
Udaipur,Beach Visit,"69, Hill View Road, Udaipur",October to March,5834
Varanasi,Food Tasting,"85, Cultural District, Varanasi",October to March,1533
Manali,Temple Visit,"34, Temple Road, Manali",October to March,1677
Delhi,Shopping,"94, Beachside Promenade, Delhi",October to March,3936
Bengaluru,Temple Visit,"44, Heritage Lane, Bengaluru",November to February,1018
Thiruvananthapuram,Adventure Sports,"38, Lake Side, Thiruvananthapuram",December to March,14059
Patna,Beach Visit,"57, Temple Road, Patna",November to March,5255
Manali,Shopping,"77, Beachside Promenade, Manali",October to March,3647
Madurai,Food Tasting,"149, Lake Side, Madurai",December to March,3208
Port Blair,Temple Visit,"25, Central Plaza, Port Blair",December to March,1021
Indore,Trekking,"89, Temple Road, Indore",November to February,7799
Mysore,Sightseeing,"29, Riverfront Area, Mysore",November to February,4785
Nagpur,Cultural Tour,"95, Market Road, Nagpur",November to February,7325
Agartala,Shopping,"52, Lake Side, Agartala",November to March,4978
Rishikesh,Sightseeing,"15, Market Road, Rishikesh",October to March,3744
Kolkata,Shopping,"2, Cultural District, Kolkata",October to February,4016
Coimbatore,Museum Visit,"49, Market Road, Coimbatore",December to March,1164
Varanasi,Cultural Tour,"129, Temple Road, Varanasi",September to February,4669
Goa,Cultural Tour,"80, Main Street, Goa",November to February,5648
Jaipur,Temple Visit,"97, Temple Road, Jaipur",October to March,2765
Vadodara,Wildlife Safari,"1, Main Street, Vadodara",November to February,7721
Chandigarh,Museum Visit,"88, Beachside Promenade, Chandigarh",September to February,1923
Bhubaneswar,Food Tasting,"26, Garden Street, Bhubaneswar",October to February,3901
Darjeeling,Wildlife Safari,"80, Heritage Lane, Darjeeling",October to February,8900
Vadodara,Sightseeing,"22, Beachside Promenade, Vadodara",November to February,4106
Ahmedabad,Beach Visit,"59, Hill View Road, Ahmedabad",October to March,5189
Puri,Food Tasting,"43, Lake Side, Puri",November to March,3514
Madurai,Adventure Sports,"149, Temple Road, Madurai",December to March,12822
Rishikesh,Wildlife Safari,"141, Hill View Road, Rishikesh",October to March,6739
Bhubaneswar,Shopping,"42, Main Street, Bhubaneswar",October to February,4102
Delhi,Beach Visit,"51, Lake Side, Delhi",September to February,3323
Lakshadweep,Adventure Sports,"53, Main Street, Lakshadweep",December to March,12956
Kavaratti,Adventure Sports,"111, Central Plaza, Kavaratti",December to March,13566
Puri,Beach Visit,"83, Old Town, Puri",November to March,4842
Darjeeling,Trekking,"30, Cultural District, Darjeeling",October to February,4591
Pune,Cultural Tour,"32, Heritage Lane, Pune",October to March,6081
Mysore,Temple Visit,"16, Riverfront Area, Mysore",December to March,3212
Shillong,Food Tasting,"4, Garden Street, Shillong",November to March,2905
Kochi,Wildlife Safari,"113, Main Street, Kochi",December to March,7967
Kolkata,Shopping,"99, Riverfront Area, Kolkata",November to March,3413
Shimla,Beach Visit,"40, Market Road, Shimla",September to February,5649
Gangtok,Trekking,"82, Main Street, Gangtok",October to February,7670
Ranchi,Museum Visit,"75, Old Town, Ranchi",November to March,1916
Kolkata,Historical Tour,"38, Beachside Promenade, Kolkata",October to February,4792
Vijayawada,Trekking,"96, Cultural District, Vijayawada",December to March,5871
Lakshadweep,Shopping,"133, Market Road, Lakshadweep",December to March,6000
Darjeeling,Wildlife Safari,"16, Central Plaza, Darjeeling",October to February,9809
Surat,Adventure Sports,"143, Main Street, Surat",November to February,10822
Udaipur,Museum Visit,"24, Lake Side, Udaipur",October to March,2930
Darjeeling,Cultural Tour,"130, Central Plaza, Darjeeling",October to February,3757
Pondicherry,Shopping,"50, Beachside Promenade, Pondicherry",November to February,4776
Pune,Beach Visit,"41, Old Town, Pune",November to February,2622
Vijayawada,Shopping,"63, Beachside Promenade, Vijayawada",November to February,4434
Amritsar,Adventure Sports,"129, Riverfront Area, Amritsar",September to February,12419
Kochi,Trekking,"19, Main Street, Kochi",November to February,7940
Hyderabad,Beach Visit,"135, Hill View Road, Hyderabad",November to February,5257
Kochi,Adventure Sports,"43, Market Road, Kochi",December to March,12508
Vadodara,Sightseeing,"103, Central Plaza, Vadodara",November to February,3803
Patna,Food Tasting,"75, Beachside Promenade, Patna",November to March,2652
Jaipur,Food Tasting,"142, Temple Road, Jaipur",October to March,1701
Jaipur,Wildlife Safari,"101, Temple Road, Jaipur",October to March,8632
Agra,River Rafting,"28, Temple Road, Agra",October to March,11247
Daman,Wildlife Safari,"100, Market Road, Daman",November to April,9151
Thiruvananthapuram,Food Tasting,"3, Riverfront Area, Thiruvananthapuram",December to March,3157
Kochi,Food Tasting,"38, Riverfront Area, Kochi",November to February,3885
Pondicherry,Shopping,"8, Main Street, Pondicherry",November to February,3415
Thiruvananthapuram,Shopping,"26, Central Plaza, Thiruvananthapuram",December to March,5693
Chennai,Adventure Sports,"139, Hill View Road, Chennai",December to March,7384
Bengaluru,River Rafting,"77, Cultural District, Bengaluru",November to February,10860
Varanasi,Adventure Sports,"63, Lake Side, Varanasi",September to February,14608
Shimla,Temple Visit,"100, Hill View Road, Shimla",September to February,3360
Ranchi,Wildlife Safari,"57, Temple Road, Ranchi",November to March,5675
Ahmedabad,Beach Visit,"115, Riverfront Area, Ahmedabad",October to March,3858
Jaipur,Trekking,"24, Central Plaza, Jaipur",October to March,6878
Bhubaneswar,Temple Visit,"78, Beachside Promenade, Bhubaneswar",November to March,2919
Manali,Food Tasting,"92, Market Road, Manali",September to February,3940
Kolkata,River Rafting,"67, Hill View Road, Kolkata",October to February,9411
Chandigarh,Temple Visit,"75, Old Town, Chandigarh",October to March,2183
Vijayawada,Beach Visit,"79, Beachside Promenade, Vijayawada",November to February,5901
Udaipur,Wildlife Safari,"121, Riverfront Area, Udaipur",November to February,5052
Pune,Historical Tour,"28, Riverfront Area, Pune",October to March,5905
Udaipur,Sightseeing,"119, Hill View Road, Udaipur",November to February,4440
Gangtok,Museum Visit,"58, Main Street, Gangtok",October to February,1339
Shimla,Sightseeing,"140, Cultural District, Shimla",September to February,3417
Hyderabad,Adventure Sports,"80, Garden Street, Hyderabad",December to March,8079
Ahmedabad,Temple Visit,"119, Main Street, Ahmedabad",November to February,2307
Bhubaneswar,Sightseeing,"64, Temple Road, Bhubaneswar",November to March,6092
Amritsar,Temple Visit,"148, Garden Street, Amritsar",October to March,2574
